Agency_Id,Service_Id,ServiceContact_ServiceContact,ServiceSystem_DateOfLastCompleteUpdate,ServiceOption_Status,ServiceOption_WebsiteVisibility,ServiceAccount_ServiceAccount_Both,ServiceAccount_ServiceAccount,ServiceOption_CallCenterList,ServiceSystem_Name,ServiceCustom_Wa211serviceAffectedByCovid19,ServiceCustom_WaPhoneworkerNote,ServiceSystem_Description,ServiceSystem_PhoneMain,ServiceCustom_Phone1Ext,ServiceCustom_Phone1Description,ServiceSystem_EmailAddress,ServiceSystem_Websiteurl,ServiceProgram_ServiceProgram_Both,ServiceProgram_ServiceProgram,ServiceSite_ServiceSite_Both,ServiceSite_ServiceSite,ServiceHoursofoperation_ModuleHoursofoperation,ServiceOption_DaysOfTheWeek,ServiceOption_HoursOfService,ServiceCustom_Wa211viewHoursStyle,ServiceSystem_HoursOfOperation,ServiceTaxonomy_ModuleServicepost,ServiceGeotagus_ServiceGeotagus,ServiceCustom_ServiceAka,ServiceCustom_Wa211HoursStyleGuide,ServiceCustom_Wa211HoursStyle,ServiceOption_FocusPopulations,ServiceOption_AgeGroups,ServiceOption_DisabilitiesHealthConditions
10042,24947,"[{""Contact_Id"":5534}]",2022/01/21,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Oregon State Farm Service Agency offered at USDA,,,"Provides information and resources for farm programs and loans, commodity operations, management and state operations within the agricultural community.",503-692-6830,,,Josh.Hanning@usda.gov,https://www.fsa.usda.gov/state-offices/Oregon/index,"[{""Program_Id"":19238,""Name"":""Oregon State Farm Service Agency""}]","[{""Program_Id"":19238}]","[{""Site_Id"":11909,""Name"":""Oregon State Farm Service Agency""}]","[{""Site_Id"":11909}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-5pm.","[{""taxonomy_code"":""TH-2900.1750-100""},{""taxonomy_code"":""BD-2600.0500-800""},{""taxonomy_code"":""BD-2600.0500-250""},{""taxonomy_code"":""TJ-3000.8000""}]","[{""scope"":""state"",""state"":""OR""}]","Oregon State Farm Service Agency, Farm Service Agency, Farm Agency, USDA Farm",,,"[""Farmers\/Farm Workers""]",,
10042,24948,"[{""Contact_Id"":5534}]",2022/01/21,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Oregon Rural Action offered at Oregon Rural Action,No public access inside building.,,"Promote social justice, agricultural and economic sustainability, and stewardship of the region’s land, air and water.",541-975-2411,,,info@oregonrural.org,https://www.oregonrural.org,"[{""Program_Id"":19239,""Name"":""Oregon Rural Action""}]","[{""Program_Id"":19239}]","[{""Site_Id"":11910,""Name"":""Oregon Rural Action""}]","[{""Site_Id"":11910}]","{""open"":{""Monday"":[[[9,0],[13,0]]],""Tuesday"":[[[9,0],[13,0]]],""Wednesday"":[[[9,0],[13,0]]],""Thursday"":[[[9,0],[13,0]]],""Friday"":[[[9,0],[13,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 9am-1pm.","[{""taxonomy_code"":""BD-2600.0500-800""},{""taxonomy_code"":""TJ-3000.8000""},{""taxonomy_code"":""JD-1500.1800""},{""taxonomy_code"":""JD-1500.4500""}]","[{""scope"":""state"",""state"":""OR""}]","Oregon Rural Action, OR Rural Action, Rural Action",,,"[""Farmers\/Farm Workers""]",,
10042,24949,"[{""Contact_Id"":5534}]",2022/01/21,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Oregon Office of Rural Health offered at Oregon Office of Rural Health,,,"Numerous services offered from accreditation of rural health clinics, provider incentive programs that aid in retention of quality providers, recruiting and retaining quality clinic workers.",503-494-4450,,,ruralweb@ohsu.edu,https://www.ohsu.edu,"[{""Program_Id"":19240,""Name"":""Oregon Office of Rural Health""}]","[{""Program_Id"":19240}]","[{""Site_Id"":11911,""Name"":""Oregon Office of Rural Health""}]","[{""Site_Id"":11911}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-5pm.","[{""taxonomy_code"":""LN-1500""},{""taxonomy_code"":""LV-8500""}]","[{""scope"":""state"",""state"":""OR""}]","Oregon Office of Rural Health, Office of Rural Health, Or office of rural health",,,"[""Farmers\/Farm Workers""]",,
10042,24950,"[{""Contact_Id"":5534}]",2022/01/21,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]","Oregon Healthy Workforce Center, Oregon Institute of Occupational Health Sciences offered at OHSU",,,"Work to improve the well being of workers through information, education, outreach, and research.",503-494-8311,,,occhealthsci@ohsu.edu,https://www.ohsu.edu/oregon-healthy-workforce-center,"[{""Program_Id"":19241,""Name"":""Oregon Healthy Workforce Center, Oregon Institute of Occupational Health Sciences""}]","[{""Program_Id"":19241}]","[{""Site_Id"":11912,""Name"":""Oregon Healthy Workforce Center, Oregon Institute of Occupational Health Sciences""}]","[{""Site_Id"":11912}]","{""open"":{""Sunday"":[[[0,0],[23,59]]],""Monday"":[[[0,0],[23,59]]],""Tuesday"":[[[0,0],[23,59]]],""Wednesday"":[[[0,0],[23,59]]],""Thursday"":[[[0,0],[23,59]]],""Friday"":[[[0,0],[23,59]]],""Saturday"":[[[0,0],[23,59]]]},""closed"":[]}","[""Sunday"",""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,24 hours daily.,"[{""taxonomy_code"":""JP-6300""},{""taxonomy_code"":""TJ-6500.6300""},{""taxonomy_code"":""TD-1600.1790""},{""taxonomy_code"":""TJ-3000.8000""}]","[{""scope"":""state"",""state"":""OR""}]","Oregon Healthy Workforce Center, Oregon Institute of Occupational Health Sciences, OHSU",,,"[""Farmers\/Farm Workers""]",,
10042,24951,"[{""Contact_Id"":5534}]",2022/01/21,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Oregon Farm Mediation Program offered at Oregon State Department of Agriculture,,,A program through the Oregon Department of Agriculture that provides mediation to address conflicts related to agricultural and rural disputes.,503-986-4565,,,ssummers@oda.state.or.us,https://www.oregon.gov/ODA/AboutUs/ComplaintsDisputes/Pages/Mediation.aspx,"[{""Program_Id"":19242,""Name"":""Oregon Farm Mediation Program""}]","[{""Program_Id"":19242}]","[{""Site_Id"":11913,""Name"":""Oregon Farm Mediation Program""}]","[{""Site_Id"":11913}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-5pm.","[{""taxonomy_code"":""FP-0700.5000""},{""taxonomy_code"":""FT-4200.4400""}]","[{""scope"":""state"",""state"":""OR""}]","Oregon Farm Mediation Program, Oregon Farm Mediation, Oregon State Department of Agriculture",,,"[""Farmers\/Farm Workers""]",,
10042,24952,"[{""Contact_Id"":5534}]",2022/01/21,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Oregon Farm Bureau offered at Oregon Farm Bureau,,,"An independent, non-governmental, voluntary organization governed by and representing farm and ranch families.",503-399-1701,,,tiffany@oregonfb.org,https://oregonfb.org,"[{""Program_Id"":19243,""Name"":""Oregon Farm Bureau""}]","[{""Program_Id"":19243}]","[{""Site_Id"":11914,""Name"":""Oregon Farm Bureau""}]","[{""Site_Id"":11914}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-5pm.","[{""taxonomy_code"":""PS-9800.9670""},{""taxonomy_code"":""TJ-3000.8000""},{""taxonomy_code"":""FP-0500.2500""},{""taxonomy_code"":""TJ-6500.8000""}]","[{""scope"":""state"",""state"":""OR""}]","Oregon Farm Bureau, OR farm bureau",,,"[""Farmers\/Farm Workers""]",,
10042,24953,"[{""Contact_Id"":5534}]",2022/01/20,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Oregon Dairy Farmers Association (ODFA) offered at Oregon Dairy Farmers Association,,,"Represents and protects Oregon’s dairy farmers through education, advocacy and policy making to ensure that dairy farmers prosper and grow.",971-599-5269,,,tami.kerr@oregondairyfarmers.org,https://oregondairyfarmers.org,"[{""Program_Id"":19244,""Name"":""Oregon Dairy Farmers Association (ODFA)""}]","[{""Program_Id"":19244}]","[{""Site_Id"":11915,""Name"":""Oregon Dairy Farmers Association (ODFA)""}]","[{""Site_Id"":11915}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-5pm.","[{""taxonomy_code"":""FP-0500.4500""},{""taxonomy_code"":""BD-2600.0500-250""}]","[{""scope"":""state"",""state"":""OR""}]","Oregon Dairy, Oregon Dairy Farmers, Oregon Dairy Farmers Association, ODFA",,,"[""Farmers\/Farm Workers""]",,
10042,24954,"[{""Contact_Id"":5534}]",2022/01/20,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Oregon Commission on Hispanic Affairs (OCHA) offered at Oregon Advocacy Commissions Office,,,"Provides support in empowering the Latino community to ensure equality in civic engagement, education, employment, environment and health.",503-302-9725,,,OACO.mail@oregon.gov,https://www.oregon.gov/oac/ocha/Pages/index.aspx,"[{""Program_Id"":19245,""Name"":""Oregon Commission on Hispanic Affairs (OCHA)""}]","[{""Program_Id"":19245}]","[{""Site_Id"":11916,""Name"":""Oregon Commission on Hispanic Affairs (OCHA)""}]","[{""Site_Id"":11916}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-5pm","[{""taxonomy_code"":""TD-1600.3100-200""},{""taxonomy_code"":""FP-0500.2500""},{""taxonomy_code"":""FP-0500.4500""}]","[{""scope"":""state"",""state"":""OR""}]","Oregon Commission on Hispanic Affairs (OCHA), OR Hispanic Affairs, OCHA Oregon Commission, Oregon Advocacy Commission",,,"[""Farmers\/Farm Workers""]",,
10042,24955,"[{""Contact_Id"":5534}]",2022/01/20,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Oregon Cattleman’s Association offered at Oregon Cattleman's Association,,,Represents and protects cattle communities and property rights through political presence and promoting sound images and practices of the cattle industry.,503-361-8941,,,oca@orcattle.com,http://orcattle.com,"[{""Program_Id"":19246,""Name"":""Oregon Cattleman\u2019s Association""}]","[{""Program_Id"":19246}]","[{""Site_Id"":11917,""Name"":""Oregon Cattleman\u2019s Association""}]","[{""Site_Id"":11917}]","{""open"":{""Monday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Friday"":[[[8,0],[16,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-4pm.","[{""taxonomy_code"":""FP-0500.4500""},{""taxonomy_code"":""BD-2600.0500-250""},{""taxonomy_code"":""TN-1000.8500""}]","[{""scope"":""state"",""state"":""OR""}]","Oregon Cattleman’s Association, OR cattleman's association",,,"[""Farmers\/Farm Workers""]",,
10042,24958,"[{""Contact_Id"":5534}]",2022/01/24,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",¡Salud! Services offered at OHSU Health Hillsboro Medical Center,,,"Provides education, information and guidance to help Oregon’s seasonal vineyard workers and their families navigate access to healthcare.",503-681-1850,,,info@saludauction.org,https://tualityfoundation.org,"[{""Program_Id"":19248,""Name"":""\u00a1Salud! Services""}]","[{""Program_Id"":19248}]","[{""Site_Id"":11920,""Name"":""\u00a1Salud! Services""}]","[{""Site_Id"":11920}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-5pm.","[{""taxonomy_code"":""PH-2360.2400""},{""taxonomy_code"":""TD-1600.2570""},{""taxonomy_code"":""TJ-3000.8000""}]","[{""scope"":""state"",""state"":""OR""}]","¡Salud! Services, OHSU Health Hillsboro Medical Center, Salud Program",,,"[""Farmers\/Farm Workers""]",,
10042,24959,"[{""Contact_Id"":5534}]",2022/01/19,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Niche Meat Processor Assistance Network (NMPAN) offered at Niche Meat Processor Assistance Network,,,"Provides resource tools and technical assistance for small processors and the farmers, marketers, and meat buyers.",541-806-1526,,,thistler@oregonstate.edu,https://www.nichemeatprocessing.org,"[{""Program_Id"":19249,""Name"":""Niche Meat Processor Assistance Network (NMPAN)""}]","[{""Program_Id"":19249}]","[{""Site_Id"":11921,""Name"":""Niche Meat Processor Assistance Network (NMPAN)""}]","[{""Site_Id"":11921}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-5pm.","[{""taxonomy_code"":""TJ-3000.8000""}]","[{""scope"":""state"",""state"":""OR""}]","Niche Meat Processor Assistance Network, NMPAN",,,"[""Farmers\/Farm Workers""]",,
10042,24960,"[{""Contact_Id"":5534}]",2022/01/19,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Friends of Family Farmers offered at Friends of Family Farmers,,,Works to protect and promote socially responsible agriculture for Oregon’s independent family farmers and food advocates.,503-581-7124,,,info@friendsoffamilyfarmers.org,https://friendsoffamilyfarmers.org,"[{""Program_Id"":19250,""Name"":""Friends of Family Farmers""}]","[{""Program_Id"":19250}]","[{""Site_Id"":11922,""Name"":""Friends of Family Farmers""}]","[{""Site_Id"":11922}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-5pm.","[{""taxonomy_code"":""TJ-3000.8000""},{""taxonomy_code"":""FP-0500.2500""}]","[{""scope"":""state"",""state"":""OR""}]","Friends of Family Farmers, friendly farmer, family farmers",,,"[""Farmers\/Farm Workers""]",,
10042,24961,"[{""Contact_Id"":5534}]",2022/01/14,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Black Food Sovereignty Coalition offered at Black Food Sovereignty Coalition,,,"Serves as a collaboration hub for Black and Brown communities to confront the systemic barriers that make food, place and economic opportunities inaccessible.",,,,,https://blackfoodnw.org,"[{""Program_Id"":19251,""Name"":""Black Food Sovereignty Coalition""}]","[{""Program_Id"":19251}]","[{""Site_Id"":11923,""Name"":""Black Food Sovereignty Coalition""}]","[{""Site_Id"":11923}]",,,,,,"[{""taxonomy_code"":""TD-1600.3100-200""},{""taxonomy_code"":""TJ-3000.8000""}]","[{""scope"":""state"",""state"":""OR""}]","Black Food Sovereignty Coalition, Black Food, Food Sovereignty",,,"[""Farmers\/Farm Workers""]",,
10042,24962,"[{""Contact_Id"":5534}]",2022/01/19,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Farmworker Housing Development Corporation (OR) offered at Farmworker Housing Development Corporation,,,Provides information for community services and housing for low-income farmworker communities in the mid-Willamette Valley.,503-981-1618,,,info@fhdc.org,http://fhdc.org,"[{""Program_Id"":19252,""Name"":""Farmworker Housing Development Corporation (OR)""}]","[{""Program_Id"":19252}]","[{""Site_Id"":11924,""Name"":""Farmworker Housing Development Corporation (OR)""}]","[{""Site_Id"":11924}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-5pm.","[{""taxonomy_code"":""BH-7000.4600-450""},{""taxonomy_code"":""LH-3500.4800""},{""taxonomy_code"":""TD-1600.2800""},{""taxonomy_code"":""TD-1600.3100-200""},{""taxonomy_code"":""PH-2360.2400""},{""taxonomy_code"":""RR-5150.2500""},{""taxonomy_code"":""PH-1250.1800""},{""taxonomy_code"":""HD-1800.6500-150""}]","[{""scope"":""state"",""state"":""OR""}]","Farmworker Housing, Farmworker housing Development Corporation (OR)",,,"[""Farmers\/Farm Workers""]",,
10042,24964,"[{""Contact_Id"":5534}]",2022/01/21,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]","Rental Assistance Program (RAP) offered at Greater Oregon Behavioral Health, Inc. (GOBHI)",,,"Provides deposit, rental and utility assistance to individuals with serious mental illness.",541-256-0692,,,mmcmurphy@gobhi.org,https://gobhi.org/programs/rental-assistance,"[{""Program_Id"":19254,""Name"":""Rental Assistance Program (RAP)""}]","[{""Program_Id"":19254}]","[{""Site_Id"":11926,""Name"":""Greater Behavioral Health, Inc (GOBHI)""}]","[{""Site_Id"":11926}]","{""open"":{""Monday"":[[[7,0],[17,0]]],""Tuesday"":[[[7,0],[17,0]]],""Wednesday"":[[[7,0],[17,0]]],""Thursday"":[[[7,0],[17,0]]],""Friday"":[[[7,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 7am-5pm.","[{""taxonomy_code"":""BV-8900.9300-250""},{""taxonomy_code"":""BV-8900.9300-180""},{""taxonomy_code"":""PH-3300.8030""},{""taxonomy_code"":""BH-3800.7250""},{""taxonomy_code"":""BH-3800.7000""}]","[{""scope"":""county"",""county"":""Morrow"",""state"":""OR""},{""scope"":""county"",""county"":""Umatilla"",""state"":""OR""},{""scope"":""county"",""county"":""Wallowa"",""state"":""OR""},{""scope"":""county"",""county"":""Union"",""state"":""OR""},{""scope"":""county"",""county"":""Malheur"",""state"":""OR""},{""scope"":""county"",""county"":""Lake"",""state"":""OR""},{""scope"":""county"",""county"":""Harney"",""state"":""OR""},{""scope"":""county"",""county"":""Grant"",""state"":""OR""},{""scope"":""county"",""county"":""Wheeler"",""state"":""OR""},{""scope"":""county"",""county"":""Gilliam"",""state"":""OR""},{""scope"":""county"",""county"":""Sherman"",""state"":""OR""}]","Rental Assistance Program (RAP), Greater Oregon Behavioral Health, Inc. (GOBHI)",,,"[""Farmers\/Farm Workers""]",,
10042,24965,"[{""Contact_Id"":5534}]",2022/01/19,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]","Non-Emergent Medical Transportation (NEMT) offered at Greater Behavioral Health, Inc (GOBHI)",,,"Provides Oregon Health Plan (OHP) members free transportation to dental, medical or mental health appointments.",877-875-4657,,,dfoster@gobhi.org,https://gobhi.org/nemt,"[{""Program_Id"":19255,""Name"":""Non-Emergent Medical Transportation (NEMT)""}]","[{""Program_Id"":19255}]","[{""Site_Id"":11926,""Name"":""Greater Behavioral Health, Inc (GOBHI)""}]","[{""Site_Id"":11926}]","{""open"":{""Monday"":[[[7,0],[17,0]]],""Tuesday"":[[[7,0],[17,0]]],""Wednesday"":[[[7,0],[17,0]]],""Thursday"":[[[7,0],[17,0]]],""Friday"":[[[7,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 7am-5pm.","[{""taxonomy_code"":""BT-4500.6500-500""}]","[{""scope"":""county"",""county"":""Wasco"",""state"":""OR""},{""scope"":""county"",""county"":""Hood River"",""state"":""OR""},{""scope"":""county"",""county"":""Morrow"",""state"":""OR""},{""scope"":""county"",""county"":""Umatilla"",""state"":""OR""},{""scope"":""county"",""county"":""Wallowa"",""state"":""OR""},{""scope"":""county"",""county"":""Union"",""state"":""OR""},{""scope"":""county"",""county"":""Baker"",""state"":""OR""},{""scope"":""county"",""county"":""Malheur"",""state"":""OR""},{""scope"":""county"",""county"":""Lake"",""state"":""OR""},{""scope"":""county"",""county"":""Harney"",""state"":""OR""},{""scope"":""county"",""county"":""Grant"",""state"":""OR""},{""scope"":""county"",""county"":""Wheeler"",""state"":""OR""},{""scope"":""county"",""county"":""Gilliam"",""state"":""OR""},{""scope"":""county"",""county"":""Sherman"",""state"":""OR""}]","Non-Emergent Medical Transportation (NEMT), Greater Behavioral Health, Inc (GOBHI)",,,"[""Farmers\/Farm Workers""]",,
